1:S 600aa0,1 miss 
195:L 7ff000388,4 hit 
196:L 7ff000370,8 hit 
197:L 7ff000384,4 hit 
198:L 7ff00038c,4 hit 
199:S 600a8c,4 miss eviction 
200:M 7ff000388,4 hit hit 
201:L 7ff000388,4 hit 
202:L 7ff000384,4 hit 
203:L 7ff000378,8 hit 
204:L 7ff000388,4 hit 
205:L 600a5c,4 hit 
206:S 7ff00038c,4 hit 
207:L 7ff000388,4 hit 
208:L 7ff000370,8 hit 
209:L 7ff000384,4 hit 
210:L 7ff00038c,4 hit 
211:S 600a9c,4 miss eviction 
212:M 7ff000388,4 hit hit 
213:L 7ff000388,4 hit 
214:M 7ff000384,4 hit hit 
215:L 7ff000384,4 hit 
216:L 7ff000390,8 miss eviction 
217:L 7ff000398,8 miss eviction 
218:L 600aa0,1 miss eviction 
219:hits:201 misses:37 evictions:29
